State Name,county Name,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,San Diego,3/28/2015,90,Moderate,Ozone,06-073-1006,12
California,San Diego,3/29/2015,80,Moderate,Ozone,06-073-1006,13
California,San Diego,3/30/2015,77,Moderate,Ozone,06-073-1006,13
California,San Diego,3/31/2015,70,Moderate,PM2.5,06-073-1019,14
California,San Diego,4/1/2015,77,Moderate,Ozone,06-073-1006,13
California,San Diego,4/2/2015,77,Moderate,Ozone,06-073-1006,13
California,San Diego,4/3/2015,84,Moderate,Ozone,06-073-1006,13
California,San Diego,4/4/2015,105,Unhealthy for Sensitive Groups,Ozone,06-073-1201,13
California,San Diego,4/5/2015,67,Moderate,Ozone,06-073-1006,13
California,San Diego,4/6/2015,61,Moderate,Ozone,06-073-1006,15
California,San Diego,4/7/2015,61,Moderate,Ozone,06-073-1006,13
California,San Diego,4/8/2015,64,Moderate,Ozone,06-073-1006,13
California,San Diego,4/9/2015,74,Moderate,Ozone,06-073-1006,13
California,San Diego,4/10/2015,80,Moderate,Ozone,06-073-1006,12
California,San Diego,4/11/2015,108,Unhealthy for Sensitive Groups,Ozone,06-073-1006,13
California,San Diego,4/12/2015,108,Unhealthy for Sensitive Groups,Ozone,06-073-1006,15
California,San Diego,4/13/2015,97,Moderate,Ozone,06-073-1006,13
California,San Diego,4/14/2015,87,Moderate,Ozone,06-073-1006,13
California,San Diego,4/15/2015,115,Unhealthy for Sensitive Groups,Ozone,06-073-1006,13
California,San Diego,4/16/2015,97,Moderate,Ozone,06-073-1006,13
California,San Diego,4/17/2015,115,Unhealthy for Sensitive Groups,Ozone,06-073-1006,13
California,San Diego,4/18/2015,133,Unhealthy for Sensitive Groups,Ozone,06-073-1006,14
California,San Diego,4/19/2015,119,Unhealthy for Sensitive Groups,Ozone,06-073-1006,13
California,San Diego,4/20/2015,93,Moderate,Ozone,06-073-1006,13
California,San Diego,4/21/2015,67,Moderate,Ozone,06-073-1006,13
California,San Diego,4/22/2015,61,Moderate,Ozone,06-073-1006,13
California,San Diego,4/23/2015,51,Moderate,PM2.5,06-073-1014,13
California,San Diego,4/24/2015,42,Good,Ozone,06-073-1016,15
California,San Diego,4/25/2015,46,Good,PM2.5,06-073-1008,13
California,San Diego,4/26/2015,60,Moderate,PM2.5,06-073-1011,13
California,San Diego,4/27/2015,115,Unhealthy for Sensitive Groups,Ozone,06-073-1006,13
California,San Diego,4/28/2015,93,Moderate,Ozone,06-073-1006,13
